,price,Ema-5,Ema-20
429,172.4082799442987,172.33982417541097,172.32698871874453
430,170.95672741950034,171.6846730805059,171.82383698438426
431,170.63282169674912,171.24775019802232,171.4800092855442
432,168.41903556896648,170.16184552999616,170.739585791825
433,168.4331163750467,169.53014450044319,170.25302609841745
434,169.02388875117921,169.35090193550224,170.02062664942918
435,169.31140604061568,169.33720209059868,169.8980343035111
436,170.63541562111251,169.78149706601477,170.01631387247323
437,170.52572189761958,170.03394992875457,170.0930263071242
438,170.4029294972554,170.15838167616835,170.13724726879693
439,171.6931844960324,170.6739563286832,170.34920972612588
440,172.36313261352487,171.2399231586566,170.61275979195273
441,171.95652596523107,171.4796118113055,170.78256111818678
442,171.6926736293523,171.55079497534166,170.89409363300928
443,171.34164533708665,171.48097212824229,170.9474821832876
444,170.02292606899124,170.99446298821798,170.83978208081723
445,170.3549581730724,170.78115038077001,170.7844808685511
446,170.97178809223507,170.8447249626399,170.80545118310354
447,171.30722807075685,170.99893904193894,170.86070474306123
448,172.94734600438892,171.64853826482474,171.08710853333486
449,172.99505327544597,172.09743660018506,171.29141368597567
450,173.6220927992152,172.60570062195308,171.53806464217604
451,173.88082144139136,173.03076614534808,171.78339573809862
452,174.49837728842488,173.5199892339824,172.0650356346344
453,173.85239229840985,173.63079318083962,172.24888568099965
454,174.2250065458792,173.8288677888199,172.4506144372989
455,175.20303884083415,174.2869301810455,172.72968051022124
456,174.84488850794264,174.47291774492547,172.9428286360204
457,175.9471987612423,174.96434731321634,173.24391168185082
458,175.39364190402986,175.10744600766972,173.45828006541757
459,175.55945236269164,175.258115141901,173.6668716895889
460,175.64950108898537,175.38857732585433,173.86290394174245
461,177.01704906193507,175.93140179706765,174.17363959508054
462,178.42990522630066,176.7642368454377,174.59158218721805
463,178.28837937349232,177.27228458739432,174.95351787162383
464,178.47623666115985,177.67360206780924,175.29749295588047
465,179.6104343244238,178.31921295138616,175.7176180395975
466,179.7366353241476,178.7916871397342,176.1082633014558
467,178.98868851724504,178.85735427150993,176.38769034046098
468,178.72170434634947,178.8121376270636,176.61371034955806
469,178.00116892072015,178.5418147140836,176.74785378053184
470,179.99057650037963,179.02473532245614,177.06091711721265
471,180.079338948134,179.37626987062868,177.35194582453673
472,181.04575754425633,179.9327657684655,177.70767439066398
473,181.58727270166133,180.4842680839095,178.0808971428617
474,182.4342587778163,181.13426498531896,178.49929354632036
475,182.31144909721735,181.52665969066976,178.8653565412007
476,183.21328701104323,182.08886879878352,179.28253906334345
477,183.33914622361686,182.5056279410483,179.67149243622595
478,183.9107610182804,182.9740056339487,180.07769831680557
